time,name,commenter,comment,star
5 年前,George Hu,在地嚮導 · 100 則評論,洋蔥蘑菇牛肉堡一直是首選，其他餐點份量也很夠，是政大難得的漢堡店！,4
6 個月前,Shaddock Hsu,5 則評論,5/12號女服務生態度有夠差！來吃東西還要看妳的臭臉？是有欠你錢喔！講話也沒溫度。東西普通沒有特別驚艷！👎,1
7 個月前,侯詠文,在地嚮導 · 11 則評論,墨西哥漢堡真的辣，還好飲料可以免費續,5
1 年前,Camby Huang,在地嚮導 · 208 則評論,一進店內很美式的味道，餐點就是吃粗飽的，上班族學生們應該會很喜歡！,4
7 個月前,Lynn Ali,10 則評論,我們點的洋蔥蘑菇牛肉跟雞肉漢堡真的不好吃，感覺很不新鮮，蘑菇一咬就知道是罐頭的不是煎的，起司味道好膩… 整體覺得好像跟一般早餐店差不多，真的不懂為什麼還有那麼多人來吃… 只有薯條還不錯,1
5 年前,陳小花,在地嚮導 · 261 則評論,"大份量真的便宜又好吃😋

飲料還無限暢飲XD 很喜歡",5
4 年前,Amber,在地嚮導 · 129 則評論,"第一次吃美式餐廳 留下不錯的體驗
大家推的花生醬是甜的 可以沾其他東西吃
番茄酸黃瓜會另外放在漢堡旁 需要的話自己加
份量充足 男生也吃得飽

可能是座位稍窄的關係
店員不太走動
飲料續杯要跑到櫃檯找店員 稍微麻煩了點

候位的民眾可以在外面的桌椅等候
若經過時看到外面的桌椅也是滿的
那可能要再等一陣子

結論：會再光顧",5
3 年前,吳文喬,在地嚮導 · 101 則評論,氣氛不錯且價格實惠，算是學生的好選擇,4
2 年前,WEN-CHE HSU,在地嚮導 · 258 則評論,販售各式美食餐點(早午餐、漢堡、帕尼尼...) ，份量十足大約為男大學生的食量，飲料部分無限暢飲，非常適合三五好友聚餐聊天。價位約200-300元/人，不另外收服務費。,4
5 年前,Jeff Huang,在地嚮導 · 72 則評論,週日20:00客滿抵達，只等五分鐘，店員主動送上特別招待炸花枝，好貼心。雙色起士牛肉190元，學生平價漢堡首選沒得輸！,5
2 年前,林靜彤,在地嚮導 · 44 則評論,"以美式漢堡來說
價錢不貴
食物好吃
份量很夠（女生吃一份有點太多，我都只能吃完一半）
而且飲料可以無線續杯、店裡氣氛也很棒
是一家值得再訪的店",5
5 年前,mars Qoo,在地嚮導 · 304 則評論,"會想一直去一直去吃的好地方 ! 假日給你們去, 平日不要和我搶喔～ 每次點一桌的澎湃，不開心都開心了～! 雖然木柵離我有點遠... QQ",4
3 年前,ChenChang Wu,在地嚮導 · 78 則評論,餐點不錯，份量很夠，飲料喝到飽，店員服務很好👍cp值高,5
8 個月前,吳晉丞（群益期貨 Vip大戶團隊創辦人 吳晉丞）,在地嚮導 · 81 則評論,"套餐份量很足，今天下午帶著全家要去動物園之前先到這間用餐，告知有嬰兒車，店家蠻貼心喬了好位子給我們，員工素質也很不錯，會主動詢問是否要飲料續杯，讓客人用餐感受很好。

還有一個店員不知道是什麼名字，很細心，雖然是餐具醬料自助，但我今天餐具掉了第一時間發現主動拿了一把新的過來，不推不行",5
8 個月前,Qin WZ,在地嚮導 · 242 則評論,服務不錯 食物環境cp值不錯,4
6 天前,蔡樂樂,在地嚮導 · 13 則評論,座位寬敞舒適大人小孩都愛吃😋😋,5
3 年前,吼吼咩,在地嚮導 · 278 則評論,"餐點份量很多 而且好吃
又不收服務費 實在非常推薦",5
5 年前,Julie Wu,在地嚮導 · 495 則評論,"洋蔥蘑菇炒得很入味，配上起司加牛肉，很加分哦！
份量多、口味好吃～
蛋捲份量也多、好吃！推

店內位置不多～ 價位平均而言200多一些",4
3 年前,浩倫倪,在地嚮導 · 313 則評論,已訪數十次，餐點份量大，各種飲料無限續，不收服務費，CP值完勝坊間所有美式連鎖店,5
1 年前,蕭鈞鴻,在地嚮導 · 43 則評論,漢堡好吃 薯條也好吃 豬肋排必點,5
2 年前,胡睿恩,在地嚮導 · 44 則評論,"點辣肉醬漢堡 薯條加大
辣肉醬香又開胃 薯條份量很多 不用300元就吃飽 還能續杯飲料
讚👍🏿",5
7 個月前,王治,在地嚮導 · 68 則評論,還蠻好吃的  飲料無限續,5
3 年前,沈安安,在地嚮導 · 179 則評論,便宜的漢堡，老闆也親切，可樂 雪碧 紅茶等等飲料暢飲！,5
2 年前,Youan Nieh,在地嚮導 · 566 則評論,"牛仔飽裡有加鳳梨片

漢堡肉的香料用比較多，比較吃不到肉的鮮味有點可惜。

炒蘑菇用番茄肉醬調味不太搭，建議清炒就好。",4
3 年前,Lance HSU (風秤子),在地嚮導 · 1034 則評論,"好吃  價格算便宜
小小孩可以不用低消  加分",5
1 個月前,林小逸（濃湯男）,在地嚮導 · 48 則評論,點古巴諾帕里尼，來的分明是火腿三明治，感覺很差,1
1 年前,陳多分,在地嚮導 · 175 則評論,漢堡好吃，飲料免費續，很棒,5
2 年前,陳玉華,在地嚮導 · 298 則評論,餐點蠻大份的，不錯吃。,4
3 年前,Angeline Kor,在地嚮導 · 149 則評論,"店面不大
餐點份量十足
飲料可以無限續杯",5
4 年前,Meng-Ping Wang,在地嚮導 · 240 則評論,超好吃漢堡，汁多味美，價位平實，不另收服務費。,5
2 年前,很多餅乾,在地嚮導 · 374 則評論,雙人坐小桌稍嫌擁擠 餐點好吃份量夠又不貴 難怪評價如此好 飲料可續杯 會想再訪👍,5
10 個月前,Hammer Chen,在地嚮導 · 106 則評論,"餐點份量足夠 ，符合這個價位的份量 ，餐點品質也不差 ，口味就是美式的粗獷豪邁 。

最重點是該店的飲料可以無限續杯 ，哪怕你只是進來點一杯飲料也可以續杯 ，很適合用餐或是下午茶 。

整體價格就是250到300以上 ，台北市的價位 ，考慮店租、口味、服務 ，價格合理 ，CP值不錯 。

店內環境是美式的佈置 ，整潔但並不明亮 ，燈光偏暗 ，沒有美式的明亮歡快 ，感覺反而像咖啡廳的柔和平穩 。

真要說缺點 ，就是店員只有一位 ， 沒人的時候還好 ，人多的時候點餐、送餐等服務 ，應該會忙不過來 ，要多給店員一點尊重 、包容 。

整體來說非常適合聚會和三五好友聚餐 ，或享用下午茶 。",5
5 年前,Tomato Athena Lee,在地嚮導 · 67 則評論,點了花生醬漢堡🍔加點炒蘑菇🍄，覺得人間美味，份量滿大的，飽足感強！,5
4 週前,Matt Lai,在地嚮導 · 31 則評論,還行啦 麵包如果煎過的話會更好,5
2 年前,YC,在地嚮導 · 119 則評論,"整體還不錯
但南瓜濃湯喝起來像玉米濃湯粉加南瓜的味道",4
2 年前,Yao Kevin,在地嚮導 · 136 則評論,美式餐廳，許多學生、上班族和家庭用餐的好地方，每次去都看到好多人聚在此用餐，是熱門餐廳。,4
1 個月前,光浩吳,在地嚮導 · 87 則評論,純美式的餐廳，餐飲選擇多，環境很有特色。,5
5 年前,Sumi Chou,在地嚮導 · 345 則評論,"The food was ok but the service was HORRIBLE . With 1 hour time limit (including waiting for the meals), I have no idea how people could have a relaxing dining time. They claim that they would provide about 1.5 hrs or even more for the customers, but what I had experienced told me it was not true, which made me uncomfortable.
OKay, that day was quite crowded but from  the moment we got our meal,  in (less than) 45 mins, we were informed to leave . How the waitresses treated just let me feel that they viewed earning money more important.

1. 食物味道ＯＫ
2. 用餐時間緊促（包含點餐、送餐時間限 1小時）
3. 服務人員態度不算好

和朋友兩個人去，第二個人餐送到未達40還45分鐘，就被告知要離開。
我們回覆說「有點太快了吧！！我們食物還沒吃完...」（一直都在吃也沒有停下啊），服務生尷尬了一下說「用餐時間一小時」。
我們問「可以等我們吃完嗎？」，她面帶難色回覆吧檯其他人員，
同行朋友表示看到吧檯區交頭接耳，不知道在討論啥。

此次用餐經驗很糟糕！
感覺不舒服，很像只顧翻桌率（當天人很多，但我們也沒刻意多留）。
如果只有一小時吃飯時間，還要被用這樣態度對待，那下次寧可去吃不怎樣的麥當勞，或是直接去其他家美式餐廳慢慢的、舒適的吃。

即便之前有人反映過，客服回覆看似有誠意說會給予更長一點的時間，所以我才再次踏入，但經驗反映出1小時就是1小時。
大約17:02入座、17:07點餐、18:0X被告知用餐時間到。

請要來的人稍微注意一下，
只要人多，可能會在吃一半的的時候就被小趕。",1
2 年前,薰衣草,在地嚮導 · 183 則評論,食物好吃，環境也佳，適合聚餐，碳烤肋排好吃。,4
4 個月前,戴郡緹,在地嚮導 · 39 則評論,吃得很有飽足感 環境氣氛都不錯,5
8 個月前,Willis Walter,在地嚮導 · 24 則評論,Cp值高，適合聊天聚餐，飲料暢飲！！,4
3 年前,張世華,1 則評論,"我超多政大同學推薦我來吃 政大必吃👍
大力推薦熔岩花生醬🥜牛肉漢堡🍔
花生+漢堡根本是絕配 而且完全不收服務費
份量多到超飽 這價錢 根本超划算 cp值 ㄅ棒‼️
推推推🎉🎉🎉🎉🎉",5
1 年前,Sean Lin,在地嚮導 · 33 則評論,"CP值高番茄蔬菜新鮮漢堡肉調味剛好酸黃瓜希望可以脆一點，沒注意到漢堡裡面有夾罐頭鳳梨不喜歡的人可能要提前跟他們說一下，飲料無限續杯不過奶茶很熱銷去的時候已經沒了，服務員態度好晚上人比較多也可以先訂位店內氣氛有也很棒大學生跟家庭居多。
比較不足的地方應該是除了吧檯的位子會稍微擁擠一點店內空間不大除此之外都很不錯。",5
1 年前,Sunny Kuo,在地嚮導 · 459 則評論,口味中上，飲料可無限續杯。唯一缺點是位子有點小。,4
5 年前,Cassy,在地嚮導 · 240 則評論,店家服務態度親切，餐點價位不貴，份量多，CP值高！每次來政大附近都想來吃～,5
2 個月前,CF Tan,在地嚮導 · 102 則評論,份量足，不會餓著！,4
4 年前,周士揚,在地嚮導 · 31 則評論,份量足味道好吃，美式風格，只是排隊入坐順序不好，值得嚐嚐,4
2 年前,Veronica Jeng,在地嚮導 · 32 則評論,份量大，飲料無限續杯，CP值高,5
1 年前,Mandy,10 則評論,"裝潢老舊、坐位擁擠、餐點一般，
重點是對小孩不是很友善⋯⋯
因為今天和朋友一群人，約在這裡用餐，
因為沒吃早餐，所以，小孩肚子餓，想先點餐食用
店員堅持一定要人數過半，才能入座用餐，後來，陸續有人到了，所以人數有過半，才讓我們入座⋯
⋯⋯店員又堅持說：用餐只有1小時，從我們入座後就開始計時哦！
重點是，還有其他同行友人還沒到，小孩吃東西又比較緩慢⋯⋯
其實，當下餐廳內用人數寥寥無幾，我不懂為何堅持時間到就趕人⋯
我只能說，這附近有很多其他更好的餐廳，
我一定不會再來這間的！",1
2 年前,蘇健豪,在地嚮導 · 88 則評論,"晚上過一定時間不供餐，印象是9點。
餐點不錯，喜歡吃漢堡",5
4 年前,AleX Liu,在地嚮導 · 279 則評論,和朋友來吃brunch，以這價位來說比較一般。台式西式早午餐，玉米湯很夜市感，Bagle加熱不是用烤的，軟軟的完全不講究，但服務還不錯，環境一般，稍顯擁擠。,3
1 年前,徐崇婉,在地嚮導 · 155 則評論,這個價位份量足，味道好吃！,5
3 年前,cn chen (James),在地嚮導 · 367 則評論,我們點了三份餐，餐點好吃，店內裝潢很不錯，附近有國小停車場方便停車，這是第二次來,5
2 年前,徐瑋中,在地嚮導 · 62 則評論,非常道地的美式餐廳，服務人員非常用心及貼心，適時的看需求來服務，不過度也不會不理，很特別的經驗,5
1 年前,Lu Lu,在地嚮導 · 194 則評論,店員服務態度很好，木盆沙拉不錯吃，飲料還可以一直續！,4
10 個月前,借過,在地嚮導 · 28 則評論,"很多種飲料可以續，而且還不錯喝。
以學生的一餐來說不算便宜，但是相對平價的美式漢堡餐廳。",4
3 年前,Ash Li (利利),在地嚮導 · 499 則評論,份量足、飲料喝到飽！大推木碗沙拉！,5
1 年前,鄭安住,在地嚮導 · 566 則評論,東西不錯吃，服務人員很客氣也很主動。,4
5 年前,REX KUO (Head),在地嚮導 · 676 則評論,餐點份量大到驚人，千萬不可大意喔！,4
3 年前,Fisher,在地嚮導 · 418 則評論,豬肋排非常好吃！ 值得推薦！CP值很好，可惜位置不多,5
3 年前,Joy Chang,在地嚮導 · 33 則評論,食物好吃，價錢便宜，大約兩百到三百，東西份量多，也有酒類跟運動吧檯，適合喜歡觀看球賽的人，也很適合全家大小來。,4
1 年前,Joseph Hwang,在地嚮導 · 215 則評論,生意實在太好，位置實在太擠。,3
2 年前,Alex Hou,在地嚮導 · 135 則評論,"政大美食沙漠中的少數綠洲
Great hamburger, salad and omelette.
Highly recommended 👍👍👍",5
5 個月前,陳威安,在地嚮導 · 53 則評論,平價美味的美式餐廳。,5
3 年前,李安定,在地嚮導 · 318 則評論,價格稍稍高了點，但好吃,4
4 個月前,Trump Donald,在地嚮導 · 30 則評論,"敝校附近少數能吃的了
份量剛好
飲料超爽",5
3 年前,MiMi Huang,在地嚮導 · 367 則評論,便宜料多，香菇與花生牛算還行,4
3 年前,George Huang,在地嚮導 · 186 則評論,我點香炒洋蔥蘑菇牛肉堡，分量充足，飲料免費續杯，五星推薦！,5
1 年前,Jeremy Chang,在地嚮導 · 55 則評論,"CP值高，份量十足。
招牌起司漢堡裡面有附洋芋片，蠻特別的配置。薯條可以加價變大份的！如果餓的話可以加起來。熱熱鬧鬧的店！推薦各位",5
2 個月前,許薰,13 則評論,好吃 店員親切 cp超高 回訪三次了,5
3 年前,A Alice,1 則評論,"很美式的餐廳🍴 價格又親民
跟網路說的一樣好評 下次來動物園玩 也還是要來吃‼️",5
1 週前,Marcus Cho,6 則評論,"東西好吃，闆娘又美
推推",5
4 年前,Ryan Wang,在地嚮導 · 328 則評論,早午餐超好吃的，配料口味搭配剛好，坐滿滿的就知道這評價不是洗出來的。,5
